0	0       0
1	1       1
2	2       1
3	3       1
4	4       1
5	5 	1
6	6 	1
7	7 	2
8	8 	2
9	9 	2
10	10	2
11	11	2
12	12	2
13	13	2
14	14	2
15	15	2
16	16	2
17	17      2
18	18	2
19	19      2
20	20      2
21	21      2
22	22	3
23	23	3
24	24	3
25	25	3
26	26	3
27	27	3
28	28	3
29	29	3
30	30	3
31	31	3
32	32	3
33	33	3
34	34	3
35	35	3
36	36	3
37	37	3
38	38	3
39	39	3
40	40      3
41	41	3
42	42	4
43	43	4
44	44	4
45	45	4
46	46	4
47	47	4
48	48	4
49	49	4
50	50	4
51	51	4
52	52	4
53	53	4
54	54	4
55	55	4
56	56	4
57	57	5
58	58	5
59	59	5
60	60	5
61	61	5
62	62	5
63	63	6
